timestamp,aX,aY,aZ,gX,gY,gZ
5533,1.032,824,-725,-30.212,-78.125,16.235
5541,1.014,892,-671,-25.208,-89.539,15.747
5550,1.000,954,-581,-16.785,-100.220,16.846
5558,988,1.013,-517,-10.132,-106.750,18.616
5567,976,1.108,-475,-7.263,-109.558,20.020
5575,955,1.237,-431,-6.226,-112.061,19.897
5584,922,1.376,-387,-4.517,-114.807,17.639
5592,891,1.497,-337,-366,-117.798,12.634
5601,830,1.590,-256,6.653,-121.338,4.272
5609,782,1.640,-150,14.954,-125.305,-7.202
5618,760,1.660,-26,21.912,-127.991,-21.423
5626,726,1.683,84,24.597,-126.404,-35.889
5634,711,1.674,158,24.292,-120.605,-49.255
5643,712,1.648,207,23.926,-113.464,-61.829
5651,706,1.629,241,24.170,-105.530,-72.205
5660,694,1.601,261,26.855,-98.694,-80.444
5668,676,1.570,278,32.471,-94.055,-86.304
5677,651,1.553,309,40.833,-91.125,-90.454
5685,620,1.526,352,51.575,-88.745,-92.773
5694,579,1.505,411,61.890,-86.792,-94.666
5702,525,1.503,461,70.129,-83.435,-96.802
5711,451,1.492,513,74.951,-77.759,-100.403
5719,377,1.444,548,75.806,-68.726,-105.896
5728,315,1.375,567,74.463,-58.899,-112.793
5736,250,1.294,583,73.547,-49.255,-119.385
5744,179,1.189,612,75.256,-40.466,-125.061
5753,109,1.078,633,79.041,-31.311,-127.930
5761,46,965,642,83.801,-20.630,-127.930
5770,-1,846,637,88.013,-9.216,-126.282
5778,-14,734,633,90.698,2.258,-123.657
5787,-17,657,639,91.064,13.855,-120.178
5795,-47,610,652,90.088,25.208,-115.967
5803,-75,562,666,88.562,37.048,-112.366
5812,-101,517,677,86.121,50.903,-109.558
5821,-138,467,641,82.520,66.711,-107.422
5829,-160,410,585,78.430,82.397,-105.957
5838,-176,364,510,74.768,97.900,-104.980
5846,-173,302,440,73.303,111.389,-104.248
5855,-156,242,383,73.486,122.009,-103.149
5863,-144,194,335,73.853,131.165,-101.501
5871,-186,116,292,74.524,139.099,-98.572
5880,-129,48,240,73.059,149.353,-98.145
5889,-102,-33,170,66.956,157.715,-95.825
5897,-78,-112,85,54.749,168.152,-93.994
5905,-39,-179,14,40.466,172.546,-93.567
5914,-13,-219,-74,27.771,180.420,-92.773
5922,18,-268,-134,19.104,182.678,-91.187
5931,63,-288,-168,15.320,179.321,-88.928
5939,99,-268,-201,16.418,174.683,-81.116
5948,120,-197,-240,23.315,168.823,-71.106
5956,124,-118,-285,37.292,162.598,-60.242
5964,146,-109,-333,57.312,158.691,-52.063
5973,208,-183,-391,77.393,159.302,-46.936
5982,281,-293,-460,89.233,160.400,-42.603
5990,347,-388,-524,90.759,159.729,-36.072
5999,408,-423,-552,85.327,153.687,-26.794
6007,443,-394,-538,77.820,142.273,-16.052
6016,455,-331,-512,72.205,129.395,-6.836
6024,458,-274,-470,70.801,118.103,-305
6033,445,-251,-444,72.754,111.206,5.371
6041,451,-283,-457,74.036,110.535,10.681
6049,496,-329,-509,70.557,116.394,17.944
6058,560,-325,-605,59.875,124.451,27.100
6066,599,-271,-707,46.387,129.517,36.987
6075,619,-158,-786,37.598,127.258,46.387
6083,626,-42,-840,37.170,119.629,54.199
6092,613,48,-863,44.495,108.948,59.387
6100,598,87,-871,56.580,95.642,61.584
6108,594,40,-861,69.519,81.177,61.523
6117,590,-44,-837,75.867,68.054,60.303
6126,623,-145,-838,70.801,59.570,58.472
6134,749,-221,-854,54.626,57.190,57.861
6142,705,-216,-934,31.677,58.411,62.256
6151,688,-153,-985,11.108,62.073,69.702
