timestamp,aX,aY,aZ,gX,gY,gZ
2910,-136,209,1.831,41.260,5.737,-7.446
2919,132,19,1.003,18.005,66.895,24.292
2927,439,-145,740,-4.211,73.608,28.809
2935,495,-86,686,-19.043,41.626,16.846
2944,362,99,734,-36.560,13.977,10.437
2952,298,185,774,-44.556,1.282,3.479
2961,276,204,801,-39.001,-8.423,-2.014
2969,247,192,854,-24.658,-15.747,-3.540
2977,203,206,938,-10.864,-19.470,-3.906
2986,168,177,1.054,1.831,-19.592,-3.784
2995,140,125,1.055,7.324,-18.860,-3.479
3003,115,96,963,2.380,-12.024,-1.770
3012,139,73,845,-6.592,-2.319,427
3020,164,92,816,-14.954,1.099,1.831
3028,167,144,880,-17.761,183,2.747
3037,157,191,969,-13.611,-1.709,3.540
3045,136,210,1.006,-5.981,-3.845,4.028
3054,129,191,986,-305,-4.822,4.272
3062,140,138,924,1.526,-4.517,3.906
3071,148,111,860,-1.709,-4.883,2.686
3079,144,118,863,-5.798,-5.920,977
3088,132,145,911,-6.409,-7.141,-183
3096,126,166,957,-3.357,-7.080,122
3105,130,164,958,732,-5.127,1.038
3113,146,142,922,2.991,-2.563,2.380
3122,168,127,892,1.770,-916,3.235
3130,177,120,892,-671,-1.038,3.662
3138,174,132,922,-2.319,-2.869,3.967
3147,169,150,958,-2.319,-3.601,4.395
3156,175,167,981,-1.282,-3.113,4.822
3164,186,159,969,-549,-2.136,3.967
3172,197,146,938,-1.038,-2.014,2.502
3181,191,135,913,-2.014,-3.418,1.709
3190,180,137,920,-2.014,-6.104,1.404
3198,165,148,943,-1.038,-7.751,1.038
3206,155,155,950,-244,-6.958,793
3215,156,160,945,366,-4.089,793
3223,164,154,928,1.160,-1.648,1.099
3232,171,147,914,1.587,-977,1.648
3240,171,142,915,2.136,-1.648,2.197
3249,163,139,933,2.625,-3.174,2.808
3257,161,142,950,2.563,-4.456,3.174
3266,158,143,954,2.136,-4.578,3.174
3274,159,137,947,1.282,-3.906,2.747
3282,160,136,933,366,-3.540,2.502
3291,156,135,927,0,-3.479,2.625
3299,152,138,928,61,-3.479,3.052
3308,148,144,929,488,-2.686,3.418
3317,150,149,928,1.282,-1.465,3.601
3325,154,155,925,1.831,-549,3.784
3333,160,159,922,2.319,488,3.906
3342,166,161,925,2.380,427,4.028
3350,164,161,933,2.380,-366,3.784
3359,164,155,939,2.441,-1.221,3.235
3367,158,146,942,2.319,-1.953,2.747
3376,153,137,941,1.953,-2.319,2.380
3384,150,126,934,1.221,-1.953,2.319
3393,152,122,926,610,-977,2.441
3401,152,121,923,0,-122,3.174
3409,154,127,926,-427,610,3.845
