timestamp,aX,aY,aZ,gX,gY,gZ
1763,1.444,1.532,137,-94.849,170.166,48.340
1771,1.898,1.370,433,-80.505,196.533,39.673
1780,2.186,1.226,629,-63.354,180.603,21.118
1788,2.269,1.164,711,-54.138,138.611,4.089
1797,2.211,1.177,723,-46.204,78.979,-11.536
1805,1.974,1.241,637,-36.194,4.822,-27.405
1814,1.665,1.211,554,-22.705,-55.420,-43.884
1822,1.309,1.148,447,-5.188,-92.407,-57.678
1831,1.000,1.035,302,12.817,-106.995,-67.200
1839,803,890,168,28.809,-102.661,-72.021
1848,704,758,106,39.551,-86.243,-70.923
1856,680,678,97,40.771,-63.293,-66.284
1865,771,632,128,35.095,-32.166,-63.477
1873,924,554,133,29.114,-1.587,-65.369
1881,1.068,419,129,28.931,22.949,-73.914
1890,1.168,292,133,35.400,34.790,-84.351
1898,1.199,146,110,41.016,32.532,-92.224
1907,1.172,57,90,42.969,17.517,-95.703
1915,1.080,34,61,40.894,-5.737,-94.299
1924,959,21,20,36.133,-28.320,-89.417
1933,843,-11,-17,32.715,-44.250,-83.496
1941,775,-59,-42,32.349,-51.941,-76.965
1949,746,-129,-70,31.921,-51.697,-69.641
1958,756,-227,-95,30.884,-43.884,-62.317
1966,802,-350,-120,28.687,-30.945,-57.190
1975,827,-463,-132,23.376,-15.381,-55.237
1983,845,-537,-109,19.470,1.770,-56.519
1992,884,-562,-94,16.907,18.311,-59.753
2000,877,-587,-127,14.160,30.090,-62.439
2009,853,-613,-155,17.151,36.255,-63.599
2017,844,-622,-186,23.254,36.072,-62.988
2026,824,-630,-221,27.588,28.320,-59.204
2034,794,-625,-249,28.259,15.259,-51.819
2043,805,-604,-260,26.611,2.686,-43.213
2051,830,-630,-283,23.254,-5.005,-35.645
2060,811,-727,-313,21.057,-6.287,-30.579
2068,800,-826,-320,23.743,-2.808,-28.992
2076,793,-916,-305,25.391,1.770,-28.442
2085,754,-1.001,-318,23.376,5.798,-27.466
2093,709,-1.046,-354,19.104,6.958,-26.917
2102,675,-1.018,-397,13.672,4.089,-28.259
2110,660,-960,-441,8.667,-916,-29.846
2119,668,-906,-486,4.761,-5.981,-29.724
2127,682,-896,-516,1.953,-10.193,-27.283
2136,694,-904,-512,-1.648,-13.123,-24.231
2144,704,-932,-491,-5.798,-14.893,-22.644
2152,699,-964,-463,-8.911,-16.968,-22.949
2161,652,-969,-439,-10.742,-20.142,-24.231
2170,595,-948,-414,-12.695,-23.193,-26.245
2178,532,-924,-380,-16.968,-24.841,-26.672
2187,476,-890,-352,-23.804,-25.208,-23.560
2195,440,-844,-320,-31.250,-22.522,-18.433
2203,451,-789,-287,-36.255,-15.808,-13.123
2212,505,-732,-261,-36.926,-6.104,-8.240
2220,586,-687,-234,-34.851,5.310,-3.296
2229,683,-678,-199,-31.006,15.259,1.221
2237,789,-677,-147,-26.855,20.081,4.150
2246,871,-686,-91,-24.292,20.203,5.676
2254,922,-674,-43,-23.560,16.724,5.127
2263,948,-638,-2,-24.353,10.620,2.930
2271,942,-596,27,-25.757,5.310,244
2280,927,-560,44,-26.306,4.028,-2.075
2288,916,-515,48,-25.513,7.019,-3.967
2297,910,-478,27,-22.461,12.329,-5.371
2305,926,-471,16,-16.541,18.005,-6.104
2314,929,-488,0,-9.949,21.484,-5.615
2322,928,-515,-15,-4.089,21.301,-4.761
2330,932,-534,-24,-732,18.005,-4.456
2339,930,-551,-25,671,13.000,-4.272
2347,924,-562,-28,1.160,8.179,-4.456
2356,913,-571,-37,916,3.540,-5.859
2364,890,-589,-46,244,244,-7.629
2373,863,-591,-56,-732,-1.709,-9.521
2381,830,-580,-68,-2.686,-3.113,-11.169
2389,799,-573,-71,-4.700,-4.395,-12.024
2398,768,-566,-73,-6.348,-5.249,-11.963
2406,751,-553,-74,-7.446,-5.981,-10.742
2415,745,-540,-75,-7.629,-6.470,-9.094
2424,749,-533,-72,-6.775,-6.409,-6.958
2432,760,-534,-69,-4.822,-5.981,-4.883
2441,770,-542,-66,-3.113,-5.554,-3.418
2449,786,-553,-57,-2.014,-4.883,-2.441
2457,806,-557,-47,-1.343,-4.028,-2.136
2466,829,-562,-41,-1.221,-2.747,-2.258
2474,846,-571,-37,-732,-1.526,-2.808
2483,845,-566,-39,-732,-2.014,-3.174
2491,835,-557,-47,-1.831,-3.113,-3.052
2500,824,-544,-55,-2.808,-4.333,-2.747
2508,807,-531,-59,-3.784,-5.249,-1.770
2517,794,-523,-58,-4.578,-5.127,-610
2525,793,-513,-55,-4.639,-2.747,366
2534,797,-508,-44,-4.456,366,977
2542,813,-502,-33,-3.784,3.662,1.404
2551,836,-493,-26,-2.563,5.920,1.343
2559,860,-484,-26,-854,6.470,1.343
2568,886,-481,-32,1.404,5.249,1.587
2576,905,-485,-44,3.784,2.380,2.136
2584,910,-499,-65,5.493,-1.648,2.625
2593,898,-519,-77,6.348,-5.981,2.808
2601,873,-540,-81,5.859,-9.583,2.502
2610,844,-550,-85,4.639,-12.146,1.770
2618,813,-552,-93,2.686,-12.756,854
2627,790,-548,-92,549,-11.841,183
2635,775,-542,-90,-1.343,-9.521,122
2644,769,-537,-86,-2.319,-6.714,488
2652,775,-526,-78,-2.991,-3.723,1.526
2661,801,-510,-64,-3.174,-1.282,2.808
2669,838,-504,-57,-2.319,793,3.845
2677,872,-518,-52,-366,1.526,4.944
2686,891,-539,-49,1.465,488,5.310
2694,893,-557,-50,2.136,-1.648,5.127
2703,882,-564,-55,1.892,-3.906,4.272
2712,859,-565,-56,1.038,-5.066,3.174
2720,836,-559,-57,183,-4.761,1.953
2729,823,-548,-60,-977,-2.808,854
2737,828,-539,-61,-1.770,366,-61
2745,837,-531,-67,-1.648,3.418,-305
2754,847,-533,-70,-977,5.493,-366
2762,860,-540,-68,-610,5.859,-610
,,,,,,
3990,-210,-1.605,-1.106,50.537,-140.381,-25.085
3999,-306,-1.575,-1.135,35.156,-142.639,-14.832
4007,-308,-1.508,-1.075,11.780,-121.033,-9.338
4016,-228,-1.356,-960,-14.832,-80.261,-10.254
4024,-48,-1.099,-810,-39.551,-31.677,-11.353
4033,195,-854,-618,-56.519,13.000,-5.981
4041,439,-676,-435,-64.758,44.373,5.371
4050,686,-566,-291,-61.646,60.608,17.822
4058,913,-524,-202,-47.852,61.951,27.710
4066,1.072,-528,-156,-29.541,49.316,35.034
4075,1.151,-591,-158,-14.526,29.602,40.344
4083,1.181,-688,-155,-6.714,12.024,40.833
4092,1.194,-734,-127,-5.371,2.075,35.156
4100,1.180,-716,-120,-9.338,-732,24.353
4109,1.145,-683,-96,-13.550,3.418,11.169
4117,1.100,-638,-79,-15.259,11.353,-366
4126,1.044,-605,-80,-14.709,18.311,-8.118
4134,990,-590,-84,-12.573,21.912,-12.512
4143,936,-595,-89,-10.071,20.569,-14.221
4151,894,-593,-99,-7.629,13.916,-14.099
4160,857,-600,-122,-5.127,3.479,-12.573
4168,822,-622,-139,-1.831,-6.958,-9.460
4176,788,-650,-151,1.404,-15.808,-6.897
4185,764,-678,-154,3.845,-20.325,-5.615
4193,744,-700,-165,5.127,-20.447,-6.653
4202,728,-713,-183,5.432,-18.555,-8.484
4210,719,-728,-195,3.662,-15.259,-10.559
4219,712,-722,-203,-610,-11.475,-12.451
4227,709,-690,-192,-5.798,-7.690,-13.550
4236,715,-650,-175,-9.277,-4.150,-13.794
4244,717,-620,-167,-10.193,-2.075,-13.306
4253,713,-602,-166,-8.972,-1.648,-11.902
4261,716,-587,-172,-7.141,-2.441,-9.644
4270,713,-591,-181,-5.066,-3.540,-6.653
4278,711,-608,-185,-3.113,-4.272,-3.967
4287,721,-623,-176,-2.563,-4.089,-2.563
4295,741,-649,-168,-2.930,-2.869,-2.380
4303,774,-671,-170,-3.662,-1.709,-3.967
4312,781,-654,-179,-5.920,-3.967,-6.226
4321,777,-630,-178,-8.728,-6.348,-6.409
4329,763,-609,-164,-11.475,-7.935,-5.432
4338,752,-591,-158,-12.573,-8.911,-4.089
4346,753,-574,-152,-12.451,-8.911,-2.930
4354,759,-572,-145,-11.169,-8.911,-1.526
4363,764,-578,-145,-9.216,-9.277,183
4371,766,-597,-147,-7.874,-9.949,1.221
4380,759,-614,-150,-7.446,-11.414,1.709
4388,743,-625,-151,-8.240,-13.123,2.563
4396,720,-631,-146,-10.193,-13.672,3.601
4405,711,-637,-131,-11.719,-11.169,4.272
4414,722,-634,-121,-12.573,-6.958,4.333
4422,740,-624,-112,-12.695,-2.258,3.906
4431,762,-611,-109,-12.207,916,3.540
4439,780,-599,-109,-11.292,2.625,3.601
4447,795,-589,-107,-9.766,3.052,3.479
